lang,text
ita,"Dan Zhang e Hao Zhang (Cina, pattinaggio di figura): protagonisti di una rovinosa caduta che li ha costretti a sospendere la prova, si rialzano ed eseguono un esercizio di così alto livello da consentir loro di salire comunque sul secondo gradino del podio."
deu,Die Entwicklung und Spezifikation von Ontologien zur Sicherstellung semantischer Konsistenz innerhalb verbundener Organisationen mit den folgenden Schwerpunkten
pol,Historia: w latach 1955 - 1987 parowóz służył na Górnośląskich Kolejach Wąskotorowych. Po wycofaniu ze służby i skreśleniu z inwentarza w dniu 10.09.1987 został przekazany do Muzeum Kolei Wąskotorowej w Sochaczewie.
spa,"• Martínez Arroyo, Emilio José; Silva Dos Santos, Fabiane Cristina (2015) El Cabanyal, un patrimonio rescatado por la ciudadanía. Revista ph, n.º 88, 2015, pp. 9-12"
ita,"4 Akyol, 5 Kuqo, 6 Atsür, 7 Arslan, 8 İlyasova, 9 Erdoğan, 10 Kutluay, 11 Solak, 12 Gönlüm, 13 Erden, 14 Peker, 15 Demirel, All. Bogdan TanjevićCampionato mondiale maschile di pallacanestro 2010"
fra,"Après deux mandats de gouverneur, il se présente aux élections sénatoriales de 2000 face au républicain sortant John Ashcroft. Sa candidature est vue comme l'un des principaux espoirs des démocrates pour conquérir un siège républicain lors de ces élections. Trois semaines avant le scrutin, le 16 octobre, Carnahan meurt dans un accident d'avion aux côtés de son fils et d'un conseiller. En raison de la proximité de l'élection, les bulletins doivent rester au nom de Mel Carnahan. Roger B. Wilson (en), qui lui a succédé au poste de gouverneur, propose de nommer sa veuve Jean au Sénat si Carnahan remporte l'élection. Le 7 novembre, il est élu au Sénat des États-Unis à titre posthume, une première. Jean est nommée pour siéger à sa place au Sénat."
pol,"Miasto zostało założone 15 sierpnia 1519 przez Pedro Arias Dávilę i stu hiszpańskich osadników. Dwa lata później, w 1521 roku królewskim dekretem wydanym przez Karola V Habsburga osadzie zostały nadane prawa miejskie oraz herb. Miasto stało się ważnym ośrodkiem wypadowym ekspansji hiszpańskiej na tereny Peru, a także ważnym ośrodkiem przez który transportowane było złoto i srebro do Europy."
eng,"Garden State (2004): The school is both shown and referenced in this Zach Braff film, which was partly filmed in neighboring South Orange, New Jersey and Millburn, New Jersey."
pol,"Wielokrotnie reprezentował X w turniejach drużynowych, m.in.: siedmiokrotnie na olimpiadach szachowych (w latach 1994, 1996, 1998, 2002, 2004, 2008, 2010) oraz pięciokrotnie na drużynowych mistrzostwach Europy (w latach 1997, 2005, 2007, 2009, 2011)."
pol,Ben Bamfuchile (ur. 12 kwietnia 1960 - zm. 27 grudnia 2007 w Kitwe) – piłkarz zambijski grający na pozycji obrońcy. Po zakończeniu kariery został trenerem.
spa,"Para pasar la oración activa a pasiva, hay que cambiar los constituyentes de las funciones sintácticas: el complemento directo de la oración en voz activa, pasa a ser el sujeto de la oración en voz pasiva, mientras que el sujeto de la oración activa, pasa a ser el complemento agente de la oración en voz pasiva. Ejemplo:"
fra,"Référence World Spider Catalog : Osornolobus cekalovici Forster & Platnick, 1985 dans la famille Orsolobidae (en) +base de données (consulté le 14 septembre 2017)"
ita,"Nel 1962, voluto da Helenio Herrera o da Italo Allodi secondo altre fonti, passa all'Inter in cambio di 100 milioni di lire. Come capitò durante la sua permanenza alla Juventus, vinse lo scudetto alla prima stagione con la nuova squadra, pur essendo penalizzato dal dover svolgere il servizio militare a Bologna, con il grado di caporale, cosa che lo costringeva a saltare durante il suo primo campionato diversi allenamenti con il club lombardo. Con i nerazzurri ha totalizzato 467 presenze in gare ufficiali, vincendo in dodici anni quattro scudetti, due Coppe dei Campioni e due Coppe Intercontinentali, diventando uno dei calciatori più decisivi per i successi della squadra, dapprima come terzino destro e poi, con risultati altrettanto buoni, nel ruolo di libero. Al termine della stagione 1964-1965, il settimanale ""Il calcio e il ciclismo illustrato"" lo indicò, con Giacinto Facchetti, come miglior terzino d'ala del campionato."
pol,"Na stałe przeniósł się do Łodzi 2 maja 1918 i „zamieszkał przy ul. Zawadzkiej 39 (ob. ul. A. Próchnika), a od 20 stycznia 1919 r. przy ul. Piotrkowskiej 71, gdzie prowadził do września 1939 r. prywatną szkołę rysunku i malarstwa. Lubił spotykać się w pracowni swego przyjaciela Samuela Hirszenberga przy ul. Spacerowej (al. T. Kościuszki) 1 z gronem artystów starszej generacji: Natanem Altmanem, Dawidem Modensteinem, Leopoldem Pilichowskim. W Miejskiej Galerii Sztuki odbyła się wystawa jubileuszowa z okazji 50-lecia jego działalności artystycznej (1926), a ostatnia wystawa indywidualna w siedzibie Stowarzyszenia Humanitarnego „Montefiore – B`nei B`rith” przy ul. Piotrkowskiej 90. W okresie międzywojennym był nadal realistą nie związanym z żadną wyraźnie określoną grupą artystyczną. Malował wiele sentymentalnych obrazów i szkiców o tematyce żydowskiej, chętnie nabywanych przez klientów dla ozdoby mieszczańskich wnętrz. Jeden z jego obrazów zatytułowany Z martyrologii zakupił Magistrat m. Łodzi (1928) do zbiorów przyszłego Muzeum Historii i Sztuki”."
nld,"Iain Menzies Banks (Dunfermline, Schotland, 16 februari 1954 – 9 juni 2013) was een Schotse schrijver. Onder de naam Iain Banks schreef hij literaire romans, als Iain M. Banks schreef hij sciencefiction."
ita,"New York è costituita da cinque circoscrizioni (chiamate boroughs). La più settentrionale, il Bronx, sorge sul continente, all'estremità di una piccola penisola; Manhattan coincide con l'isola omonima, situata fra il corso dell'Hudson e lo East River (un piccolo braccio di mare); Staten Island si allarga sull'omonima isola situata lungo la costa del New Jersey, a sudest della baia di New York; Brooklyn e il Queens si trovano invece all'estremità occidentale dell'isola di Long Island, che raggiunge qui il punto di minor distanza dal continente. Questa particolare topografia ha fatto sì che la città diventasse, sin dall'epoca coloniale, uno dei più importanti porti del mondo."
eng,"Created by England-born artist Mark ""Fos"" Foster, the Heroin brand was named after Fos' addiction to ""skateboarding"". The global premiere of the Heroin skateboards video, Video Nasty, was held in Los Angeles, US on June 27, 2013 and includes parts from Chet Childress, Deer Man of Dark Woods, Daniel Shimizu, Gou Myagi, Rogie and Tom Day. Foster's debut American art show, ""Diamonds And The Rough"", was presented at the Kingswell gallery in Los Angeles, US on June 14, 2014."
ita,"4 Tan, 5 Ersözlü, 6 Ton, 7 Hakyemez, 8 Örs, 9 Erdenay, 10 Durusel, 11 Tosun, 12 Poyrazoğlu, 13 İnce, 14 Dağlı, 15 Güney, All. Mehmet BaturalpFIBA EuroBasket 1975"
ita,"Il giuramento olimpico è stato pronunciato dallo sciatore alpino Giorgio Rocca a nome degli atleti, e da Fabio Bianchetti a nome dei giudici."
